contributor_id	project_id
1	1
1	2
1	3
1	4
1	5
1	6
1	7
2	8
2	9
2	10
2	11
2	12
2	13
2	14
2	15
2	16
2	17
2	18
2	19
2	20
2	21
2	22
2	23
2	24
2	25
2	26
2	27
2	28
2	29
2	30
2	31
2	32
2	33
2	34
2	35
2	36
2	37
3	38
4	38
4	39
4	40
4	41
4	42
4	43
4	44
4	45
4	46
4	47
4	48
4	49
4	50
4	51
4	52
4	53
4	54
4	55
4	56
4	57
4	58
4	59
4	60
4	61
5	38
5	39
7	38
7	62
7	63
7	64
7	65
7	45
7	39
7	66
7	67
7	68
7	42
7	69
7	70
7	44
7	71
7	72
7	73
7	74
7	75
7	46
7	76
7	77
7	78
7	79
7	80
7	81
7	82
7	83
7	84
7	85
8	86
8	87
10	88
11	89
11	90
12	88
12	91
13	89
14	92
15	93
15	94
15	95
16	96
16	97
16	98
16	99
16	100
16	101
16	102
16	103
16	104
16	105
16	106
16	107
16	108
16	109
16	110
16	111
16	112
16	113
16	114
16	115
16	116
16	117
16	118
16	119
16	120
16	121
16	122
16	123
16	124
16	125
17	126
17	124
18	127
18	128
18	129
18	96
18	130
18	131
18	132
18	133
18	134
18	124
18	135
18	136
19	86
19	137
19	138
19	139
19	140
19	141
19	142
19	143
19	144
19	145
19	146
19	147
19	148
19	149
19	150
19	151
19	152
19	153
19	154
19	155
20	156
21	88
23	88
24	88
25	157
25	158
25	159
26	160
26	161
26	162
26	163
26	164
26	165
26	166
26	167
26	168
26	169
26	170
26	171
26	172
26	173
26	174
26	175
26	176
26	177
26	178
26	179
26	180
26	181
26	182
26	183
26	184
26	185
26	186
26	187
26	188
26	189
27	8
27	22
27	190
27	191
27	31
27	20
27	192
27	193
27	194
27	18
27	195
27	196
27	9
27	197
27	198
27	29
27	199
27	200
27	201
27	202
27	203
27	204
27	205
27	206
27	207
27	208
27	209
27	210
27	33
27	211
28	212
28	213
28	214
28	215
28	216
28	217
28	218
28	219
28	220
28	221
28	222
28	223
28	224
28	225
28	226
28	227
28	228
28	229
29	230
30	231
30	232
31	263
31	264
31	265
31	266
31	267
31	268
31	269
31	270
31	271
31	272
31	273
31	274
31	275
31	276
31	277
31	278
31	279
31	280
31	281
31	282
31	283
31	284
32	285
32	286
32	268
32	287
32	288
32	289
32	290
32	291
32	292
32	293
32	294
32	295
32	296
32	297
32	298
32	299
32	300
32	301
32	302
32	303
32	304
32	305
32	306
32	307
32	308
32	309
32	310
32	311
32	312
32	313
33	294
33	314
33	315
33	316
33	302
33	317
33	318
33	298
33	319
33	320
33	321
33	322
33	323
33	282
33	324
33	296
33	325
33	326
33	327
33	328
33	329
33	330
34	331
34	332
34	333
34	334
34	281
34	335
34	112
34	336
35	268
35	337
35	338
35	339
35	340
35	341
35	342
35	343
35	344
35	345
35	346
35	281
35	347
35	348
35	349
35	350
36	351
36	352
36	353
36	354
36	355
36	356
36	357
36	358
36	359
36	360
36	361
36	362
36	363
36	364
36	365
36	366
36	367
36	368
36	369
36	370
36	371
36	372
36	373
36	374
36	375
36	376
36	377
36	378
36	379
36	380
37	351
37	381
37	382
37	383
37	353
37	362
37	384
37	367
37	385
37	352
37	386
37	387
37	278
37	388
37	354
37	389
37	390
37	372
37	391
37	392
37	393
37	355
37	394
37	395
37	396
37	397
37	398
37	399
37	400
37	356
38	401
38	402
38	403
38	404
38	405
38	300
38	406
38	296
38	407
38	301
38	408
38	409
38	410
38	411
38	412
38	413
38	414
38	415
38	416
38	417
38	418
38	289
38	419
38	420
38	421
38	422
38	423
38	424
38	425
38	426
39	427
39	428
39	429
39	430
39	431
39	432
39	433
39	434
39	435
39	436
39	437
39	438
39	439
39	440
39	441
39	442
39	443
39	444
39	445
39	446
39	447
39	448
39	449
39	450
39	451
39	452
39	453
39	454
39	455
39	456
40	457
40	458
40	459
40	460
40	461
40	462
40	463
40	464
40	465
40	466
40	467
40	468
40	190
40	469
40	470
40	471
40	472
40	473
40	474
40	475
40	476
40	477
40	478
40	479
40	480
40	481
40	482
40	483
40	484
40	485
41	486
41	487
41	488
41	489
41	490
41	491
41	492
41	493
41	494
41	495
41	496
41	497
41	498
41	499
41	500
41	501
41	502
41	503
41	504
41	505
41	506
41	507
41	508
41	509
42	486
42	508
42	510
42	489
42	490
42	488
42	511
42	487
42	494
42	512
42	513
42	514
42	499
43	293
43	515
43	516
43	517
43	518
43	519
43	520
43	521
43	522
43	523
43	524
43	525
43	526
43	527
43	528
43	290
43	529
43	530
43	508
43	531
43	532
43	533
43	305
43	534
43	285
43	535
43	536
43	537
43	538
43	539
44	493
44	540
44	492
44	541
44	486
44	542
44	543
44	498
44	488
44	544
44	545
44	546
44	547
44	497
45	548
45	549
45	550
45	551
45	552
46	488
46	486
46	490
46	553
46	554
47	555
47	556
47	557
47	281
48	558
48	331
48	559
48	560
48	561
48	562
48	563
48	564
48	565
48	566
48	567
48	568
48	569
48	570
48	571
48	572
48	573
48	574
48	575
48	576
48	577
48	578
48	579
48	580
48	581
48	582
48	583
48	584
48	585
48	517
49	586
49	587
49	588
49	589
49	590
49	591
49	592
49	593
49	594
49	595
49	596
49	597
49	598
49	599
49	600
49	601
49	602
49	603
49	604
49	605
49	606
49	297
49	522
49	607
49	608
49	609
49	610
49	611
49	538
49	612
50	613
50	614
50	615
50	616
50	318
50	617
50	618
51	558
51	619
51	620
51	621
51	622
51	623
51	624
51	625
51	626
51	627
51	628
51	629
51	630
51	631
51	632
52	633
52	634
52	635
52	636
52	637
52	551
52	638
52	639
52	640
52	641
52	642
52	643
53	644
53	645
53	646
53	647
53	648
53	649
53	650
53	651
53	652
53	653
53	654
53	655
53	656
53	657
53	658
53	659
53	660
53	661
53	662
53	663
53	664
53	665
53	666
53	611
53	667
53	668
53	669
53	670
53	671
53	672
54	673
54	674
54	675
54	676
54	542
54	677
54	678
54	679
54	680
55	532
55	681
55	682
55	560
55	683
55	684
55	685
55	686
55	333
55	687
55	688
55	689
55	690
55	691
55	692
55	693
55	694
55	695
55	696
55	571
55	697
55	698
55	699
55	700
55	701
55	523
55	702
55	703
55	704
55	705
56	706
56	707
56	708
56	709
56	560
56	687
56	710
56	711
56	712
56	700
56	713
56	714
56	467
56	715
56	716
56	217
56	717
56	718
56	719
56	720
56	721
56	722
56	494
56	723
56	724
56	725
56	726
56	727
56	728
56	729
57	730
57	731
57	280
57	732
57	733
57	734
57	735
57	736
57	737
57	632
58	738
58	281
59	730
59	739
59	740
59	741
59	742
59	743
59	744
59	561
59	745
59	746
59	330
59	747
59	569
59	748
59	749
59	750
59	751
59	752
59	753
59	754
59	755
59	756
59	757
59	758
59	733
59	759
59	760
59	318
59	761
59	762
60	516
60	518
60	489
60	534
60	763
60	519
60	764
60	293
60	524
60	765
60	522
60	766
60	508
60	767
60	768
60	532
60	769
60	486
60	494
60	515
60	770
60	282
60	771
60	539
60	772
60	773
60	527
60	525
60	528
60	558
61	800
61	801
61	802
61	803
61	804
61	805
61	806
61	807
61	808
61	809
61	810
61	811
61	812
61	813
61	814
61	815
61	816
61	817
61	818
61	819
61	820
61	821
61	822
61	823
61	824
61	825
61	826
61	827
61	828
61	829
62	813
62	814
62	830
62	831
62	801
62	832
62	833
62	834
62	835
62	836
62	837
62	838
62	839
62	840
62	841
62	842
62	843
62	844
62	845
62	846
62	847
62	848
62	849
62	850
62	851
62	852
62	853
62	854
62	855
62	856
63	800
63	803
63	801
63	857
63	858
63	859
63	860
63	806
63	861
63	862
63	863
64	802
64	800
64	864
64	806
65	859
65	803
65	801
65	800
65	865
65	802
65	866
65	867
65	868
65	869
65	870
65	871
65	872
65	806
65	873
65	874
65	875
65	876
65	877
65	878
65	879
65	809
65	880
65	881
65	882
65	883
65	884
65	885
65	886
65	887
66	888
66	800
66	803
66	889
66	890
66	891
66	892
66	893
66	801
66	894
66	895
66	887
66	896
66	897
66	898
66	899
67	801
67	803
67	800
68	801
69	801
69	804
69	803
69	900
69	901
69	808
69	902
69	903
69	800
69	897
69	904
69	905
70	901
70	803
70	801
70	804
70	906
70	907
71	801
71	908
71	909
72	801
72	910
72	911
73	801
74	801
74	912
75	803
75	913
75	801
75	914
75	915
76	813
76	814
76	830
76	831
76	916
76	801
76	832
76	833
76	834
76	835
76	836
76	837
76	838
76	839
76	840
76	841
76	842
76	843
76	844
76	917
76	918
76	847
76	848
76	849
76	850
76	851
76	852
76	853
76	854
76	855
77	924
77	925
77	926
77	927
77	928
77	929
77	930
77	931
77	932
77	933
77	934
77	864
77	935
77	936
77	937
77	938
77	939
77	940
77	941
77	942
77	943
78	944
78	945
79	944
79	946
79	947
79	948
79	949
79	950
79	951
79	952
79	953
79	954
79	864
79	955
79	956
79	957
79	958
79	510
80	954
80	959
80	960
80	961
80	962
80	963
80	964
80	965
80	966
80	864
80	967
80	968
80	379
80	969
81	970
82	932
82	928
82	971
82	927
82	972
82	973
82	974
82	975
82	926
82	976
82	977
82	978
82	979
82	980
82	981
82	982
82	983
82	984
82	985
82	986
82	987
82	988
82	989
82	940
82	990
82	991
82	930
82	992
82	993
82	994
83	949
83	995
83	948
83	996
83	997
83	998
83	999
83	1000
83	1001
83	1002
83	1003
83	1004
83	1005
83	1006
83	1007
84	949
84	996
84	997
84	998
84	1008
84	995
84	1001
84	864
84	1009
84	1010
84	1011
85	949
85	1012
85	1013
85	1008
86	1014
86	949
86	962
86	1015
86	1016
86	1012
86	1017
86	864
86	944
87	944
87	946
87	1014
87	962
87	1015
87	1018
87	1012
87	1019
87	1020
87	1021
87	1022
88	997
88	999
88	949
88	1023
88	1018
88	864
89	995
89	949
89	996
89	997
89	998
89	864
89	1004
89	1011
90	999
91	949
91	1024
91	1025
91	1013
91	864
91	1026
92	1014
92	1027
92	1028
92	1015
92	1029
92	1019
92	962
92	1030
92	1018
92	1031
92	565
92	1032
92	1016
92	1033
92	1034
92	1035
92	1036
92	948
92	1037
92	999
92	1022
92	1038
92	995
92	974
92	1039
92	1040
92	967
92	1041
92	1042
92	1043
93	1044
93	1014
93	1045
93	1046
93	1047
93	1048
93	1019
93	1049
93	1050
93	1051
93	948
93	1052
93	1053
93	1054
93	1055
93	1016
93	1056
93	1035
93	1057
93	1058
93	1059
93	1060
93	1061
93	995
93	1062
93	1063
93	1064
93	1065
93	1066
93	1067
94	949
94	1068
94	1015
94	974
94	948
94	1069
95	1014
95	1016
95	1028
95	1027
95	1030
95	1035
95	1034
95	1037
95	974
95	1015
95	1070
95	565
95	948
95	962
95	1040
95	1071
95	1018
95	1072
95	1073
95	1009
95	1033
95	1074
95	1075
95	1043
95	1032
95	1038
95	1076
95	1077
95	1078
95	1079
96	1080
96	1081
96	1082
96	1083
97	1084
97	1085
97	1086
97	1087
97	1088
97	1089
97	1090
97	1091
97	1092
97	1093
97	1094
97	1095
97	864
97	1096
97	1097
97	946
97	1098
97	72
97	1099
97	1100
98	1084
98	1086
98	1100
98	1085
98	1088
98	954
98	1087
98	1089
98	1101
98	1102
98	1093
98	1103
98	1090
98	864
98	1104
98	1094
98	1105
98	1106
98	1107
98	72
98	1097
98	1108
98	952
98	1109
98	1110
98	1111
98	1112
98	1113
98	946
98	1114
99	1084
99	1085
99	1068
99	1093
99	1089
99	1087
99	864
99	1094
99	1090
99	1115
99	967
99	1104
99	1116
99	1117
99	1118
99	1108
99	1119
99	1120
99	1121
100	1122
100	1123
100	950
100	864
100	1016
100	974
100	1014
101	962
101	1017
101	864
102	1124
102	1125
102	864
102	1126
102	1058
102	1127
102	1128
102	1129
102	1130
102	1131
104	1132
104	1133
104	1134
104	1135
104	1044
104	1136
104	1137
104	1027
104	927
104	1138
104	1139
104	1140
104	567
104	1141
104	566
104	1142
104	1143
104	1073
104	1144
104	1145
104	1012
104	1146
104	995
104	1147
104	1148
104	1149
104	19
104	1150
104	565
104	1151
105	1071
105	1152
105	1008
105	1048
105	1035
105	1018
105	1108
105	1038
105	946
105	967
105	1153
105	1014
106	1014
106	949
106	1036
106	962
106	1009
106	953
106	1008
106	944
107	1172
107	1173
107	1174
107	1175
107	1176
107	1177
107	1178
108	1179
108	1174
108	1180
108	1181
108	1175
108	1182
108	1183
108	1184
108	1185
108	1186
108	1187
108	1188
108	1189
108	1190
108	1191
108	1192
108	1193
108	1194
108	1195
108	1196
108	1197
108	1198
108	1199
108	1200
108	1201
108	1202
108	334
108	391
108	1203
108	1204
109	1205
109	1172
109	1174
109	1206
109	1207
109	1208
109	1209
109	1210
109	1211
109	1212
109	1213
109	1214
109	1215
109	1216
109	1217
109	1218
109	1219
109	1220
109	1221
109	1222
109	1223
109	1224
109	1225
109	1226
109	1227
109	1228
109	1185
109	1229
109	1179
109	1230
110	1187
110	1231
110	1232
110	1233
110	1185
110	1234
110	1235
110	1236
110	1237
110	1174
110	1176
110	1190
110	1238
110	1239
110	1240
110	1241
110	1242
110	1196
110	1243
110	1244
110	1245
110	1246
110	1247
110	1248
110	1249
110	1250
110	1251
110	1252
110	1253
110	1254
111	1255
111	1256
111	1257
111	1258
111	1259
111	1260
111	1261
