company_id	contributor_id
1	233
1	234
1	235
1	236
1	237
1	238
1	239
1	240
1	241
1	242
1	243
1	244
1	245
1	246
1	247
1	248
1	249
1	250
1	251
1	252
1	253
1	254
1	255
1	256
1	257
1	258
1	259
1	260
1	261
1	262
2	774
2	775
2	776
2	757
2	341
2	777
2	778
2	779
2	780
2	781
2	782
2	783
2	784
2	785
2	578
2	786
2	787
2	788
2	789
2	790
2	791
2	792
2	793
2	794
2	795
2	796
2	401
2	797
2	798
2	799
3	859
3	801
3	802
3	813
3	804
3	857
3	806
3	800
3	805
3	814
3	919
3	807
3	920
3	921
3	922
3	923
3	803
3	901
4	1154
4	1155
4	1125
4	1156
4	1157
4	1158
4	1159
4	977
4	1160
4	979
4	1072
4	996
4	1161
4	1033
4	1103
4	1162
4	1163
4	962
4	932
4	1164
4	1075
4	1066
4	1165
4	1166
4	1023
4	1167
4	1168
4	1169
4	1170
4	1171
5	1584
5	1585
5	1586
5	1587
5	1588
5	1589
5	1590
5	1591
5	1592
5	1330
5	1285
5	1593
5	1594
5	1595
5	1596
5	1597
5	1349
5	1598
5	1400
5	1599
5	1600
5	1179
5	1601
5	1602
5	1188
5	1603
5	1248
5	1604
5	1605
5	1606
6	1874
6	1893
6	1894
6	1895
6	1896
6	1897
6	1668
6	1771
6	1898
6	1899
6	1900
6	1901
6	1902
6	1903
6	1904
6	1608
6	1658
6	1905
6	1906
6	1907
6	1792
6	1807
6	1908
6	1909
6	1910
6	1911
6	1912
6	1913
6	1914
6	1915
7	228
7	1936
7	2078
7	2256
7	2023
7	2014
7	2071
7	2257
7	2216
7	2088
7	2222
7	2081
7	2258
7	1962
7	2259
7	1976
7	1923
7	1974
7	2098
7	1929
7	2013
7	2260
7	2261
7	1918
7	1941
7	2039
7	2262
7	1985
7	2036
7	2263
8	2276
8	1899
8	2265
8	2406
8	2071
8	2348
8	1913
8	2513
8	217
8	2444
8	2313
8	867
8	2090
8	2266
8	2268
8	2368
8	2388
8	1114
8	897
8	2289
8	2264
8	2315
8	2311
8	2350
8	213
8	2364
8	2351
8	2407
8	2230
8	2267
9	2684
9	2685
9	2560
9	2686
9	2687
9	2688
9	2689
9	2631
9	2690
9	2691
9	2692
9	2693
9	2563
9	2694
9	2695
9	2696
9	2697
9	2698
9	2699
9	2519
9	2700
9	147
9	2525
9	2616
9	2644
9	2701
9	2573
9	2526
9	2702
9	2522
10	2705
10	2708
10	2707
10	3027
10	2725
10	2732
10	3028
10	2706
10	2704
10	2710
10	2787
10	2408
10	2709
10	2724
10	2822
10	2923
10	2795
10	2712
10	2816
11	459
11	3193
11	190
11	204
12	3368
12	3369
12	3269
12	3242
12	3066
12	3257
12	3283
12	3222
12	3370
12	3371
12	3201
12	3270
12	3372
12	3373
12	3258
12	3374
12	3060
12	3062
12	3265
12	3058
12	3266
12	3321
12	3065
12	3064
12	3262
12	3375
12	3238
12	3376
12	1282
12	3377
13	1102
13	1593
13	1274
13	3414
13	3411
13	1275
13	3415
13	3416
13	1255
13	1269
13	1105
13	1259
13	1279
13	3417
13	3418
13	1447
13	1256
13	1263
13	1257
13	1260
13	3378
13	1262
13	1484
13	3419
13	3197
13	3381
13	1271
13	1172
13	3420
13	1264
14	3626
14	3475
14	3486
14	3438
14	3627
14	3549
14	3628
14	3629
14	3630
14	3504
14	3600
14	3631
14	3423
14	3632
14	3431
14	3429
14	3633
14	3634
14	3427
14	3434
14	3635
14	3470
14	3636
14	3435
14	3432
14	3494
14	3436
14	3587
14	3425
14	3637
15	3654
15	3668
15	3661
15	3666
15	3651
15	3647
15	3827
15	3652
15	3702
15	3676
15	3641
15	3643
15	3686
15	3828
15	3829
15	3662
15	3830
15	3831
15	3638
15	3832
15	3833
15	3659
15	3646
15	3698
15	3834
15	3653
16	4051
16	4055
16	4056
16	4057
16	4058
16	4059
16	4052
16	4060
16	4061
16	4062
16	4063
16	4064
16	4065
16	4066
16	4067
16	4068
16	4069
16	4070
16	4071
16	794
16	4072
16	4073
16	4016
16	4074
16	4075
16	4076
16	3848
16	3991
16	4077
16	4078
17	4455
17	4456
17	4457
17	4458
17	4459
17	4460
17	4461
17	4462
17	4463
17	4464
17	4465
17	4466
17	4311
17	4454
17	4467
17	4468
17	4469
17	4470
17	4394
17	4471
17	4333
17	4472
17	4473
17	4474
17	4475
17	4476
17	4477
17	4478
17	4479
17	4424
18	4632
18	4482
18	4760
18	4761
18	4486
18	4762
18	4716
18	4513
18	4514
18	4540
18	4763
18	4764
18	4647
18	4506
18	4559
18	4498
18	4717
18	4689
18	4765
18	4766
18	4767
18	4530
18	4768
18	4769
18	4770
18	4771
18	4692
18	4635
18	4772
18	4630
19	4773
19	4777
19	4775
19	828
19	4774
20	4894
20	4888
